i275457436,c24364617,0008-011X 0757-8075,PB1010558,cahiers du cinéma,
i275423566,c22834175,0738-7563,PB1014556,video networks,
i275472255,c24499419,0163-5069 0163-5069 1,PB1012493,film criticism,
i275451173,c24357571,0019-3712 0019-3712 1,PB1014123,the independent film journal,
i275432695,c1740910x,0199-7300 1,PB1008450,the film journal,
i275426178,c21926451,0300-7472,PB1011433,afterimage,
i275476947,c24501426,1083-5369 1083-5369 1,PB1013354,films of the golden age,
i275459767,c24373667,0048-4911 0048-4911 z,PB1010790,positif,
i275440321,c21349447,0731-5198,PB1013641,the independent,"Independent (New York, N.Y. : 1978)"
i275450806,c24357571,0019-3712 0019-3712 1,PB1014086,the independent film journal,
i275450375,c24357571,0019-3712 0019-3712 1,PB1009406,the independent film journal,
i275438077,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012013,the independent film & video monthly,
i275446943,c16330274,0036-9543 0036-9546 z,PB1009357,screen,"Screen (London, England)"
i275458581,c24373667,0048-4911 0048-4911 z,PB1010669,positif,
i275473259,c24500331,0311-3639 0311-3639,PB1012769,cinema papers,
i275487052,c24502571,0306-0691,PB1014470,screen education,Screen education (1974)
i275470040,c24498294,1049-0434 1049-0434 1,PB1012447,entertainment weekly,
i275465925,c24495724,1041-617X 1,PB1011925,animation magazine,
i275483824,c24501840,0885-5021 0885-5021 1,PB1014230,movietone news,
i275483289,c24501839,0164-9655 0164-9655 1,PB1013995,millimeter,
i275483538,c24501839,0164-9655 0164-9655 1,PB1014020,millimeter,
i275422215,c22828242,0039-9132,PB1010296,take one,
i275438697,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013719,the independent film & video monthly,
i275441325,c17414477,1077-9361 0742-533 0742-5333 1,PB1008146,international documentary,
i275432646,c1740910x,0199-7300 1,PB1008445,the film journal,
i275431915,c1740910x,0199-7300 1,PB1008371,the film journal,
i275440813,c17414477,1077-9361 0742-533 0742-5333 1,PB1008094,international documentary,
i275473661,c24500331,0311-3639 0311-3639,PB1012961,cinema papers,
i275462109,c24373679,0045-1150,PB1010957,l'avant-scène cinéma,
i275441490,c17414477,1077-9361 0742-533 0742-5333 1,PB1008163,international documentary,
i275425514,c21926451,0300-7472,PB1011367,afterimage,
i275463473,c24373643,0894-9263 0894-9263 1,PB1011001,premiere,"Premiere (New York, N.Y. : 1987)"
i275484087,c24501840,0885-5021 0885-5021 1,PB1014256,movietone news,
i275466486,c24497307,0158-4154 0158-4154,PB1012143,cantrill's filmnotes,
i275461907,c24373679,0045-1150,PB1010937,l'avant-scène cinéma,
i275484889,c24501906,0146-0013,PB1014640,quarterly review of film studies,
i275480252,c24501670,0751-7033,PB1013736,iris,Collection  Iris  (Plon (Firm))
i275463217,c24373643,0894-9263 0894-9263 1,PB1010912,premiere,"Premiere (New York, N.Y. : 1987)"
i275459974,c24373679,0045-1150,PB1010820,l'avant-scène cinéma,
i275432178,c1740910x,0199-7300 1,PB1008397,the film journal,
i275439318,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009792,the independent film & video monthly,
i275439641,c21349447,0731-5198,PB1013573,the independent,"Independent (New York, N.Y. : 1978)"
i27548502x,c2450192x,1050-9208 0146-0013 z,PB1014615,quarterly review of film and video,
i275457606,c2436535x,0361-4751,PB1010286,american film,
i275425885,c21926451,0300-7472,PB1011404,afterimage,
i275486953,c24502571,0306-0691,PB1014460,screen education,Screen education (1974)
i275452098,c24357571,0019-3712 0019-3712 1,PB1014215,the independent film journal,
i275446773,c16330274,0036-9543 0036-9546 z,PB1007270,screen,"Screen (London, England)"
i275481074,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013819,main,"MAIN (Oakland, Calif.)"
i275460745,c24373679,0045-1150,PB1011653,l'avant-scène cinéma,
i275469359,c24497460,0009-7071 0009-7071 4,PB1012386,cinema canada,
i275477836,c2450144x,0015-1610 0015-1610 1,PB1013261,filmmakers newsletter,
i275465688,c24495724,1041-617X 1,PB1011901,animation magazine,
i275425472,c21926451,0300-7472,PB1011362,afterimage,
i275433420,c1740910x,0199-7300 1,PB1008523,the film journal,
i275475888,c24500422,0896-6389 0896-6389 1,PB1012857,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275478464,c24501499,0194-4339 0194-4339 1,PB1013149,filmmakers,
i275459512,c24373667,0048-4911 0048-4911 z,PB1010763,positif,
i275451768,c24357571,0019-3712 0019-3712 1,PB1014182,the independent film journal,
i275473399,c24500331,0311-3639 0311-3639,PB1012783,cinema papers,
i275438193,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012025,the independent film & video monthly,
i275439549,c21349447,0731-5198,PB1013563,the independent,"Independent (New York, N.Y. : 1978)"
i275458179,c24373667,0048-4911 0048-4911 z,PB1010628,positif,
i275477484,c2450144x,0015-1610 0015-1610 1,PB1013188,filmmakers newsletter,
i275451549,c24357571,0019-3712 0019-3712 1,PB1014160,the independent film journal,
i275456262,c24364617,0008-011X 0757-8075,PB1010440,cahiers du cinéma,
i275458398,c24373667,0048-4911 0048-4911 z,PB1010650,positif,
i275478282,c24501487,1063-8954 1063-8954 1,PB1013129,filmmaker,
i275432774,c1740910x,0199-7300 1,PB1008459,the film journal,
i275476534,c24501360,0015-5128,PB1013386,focus on film,
i275471500,c24498361,0743-4545 0743-4545 1,PB1012655,film and video makers travel sheet,
i275474756,c24500380,0015-1025 0015-1025 z,PB1013059,film,"Film (London, England : 1954)"
i275477228,c2450144x,0015-1610 0015-1610 1,PB1013308,filmmakers newsletter,
i275426233,c21926451,0300-7472,PB1011439,afterimage,
i275476285,c24501360,0015-5128,PB1013361,focus on film,
i275425423,c21926451,0300-7472,PB1011358,afterimage,
i275450636,c24357571,0019-3712 0019-3712 1,PB1014069,the independent film journal,
i275423487,c22834175,0738-7563,PB1014548,video networks,
i275432348,c1740910x,0199-7300 1,PB1008415,the film journal,
i275422689,c14643856,0015-1327 0160-7316,PB1012836,film library quarterly,
i27543316x,c1740910x,0199-7300 1,PB1008497,the film journal,
i275423219,c22834175,0738-7563,PB1014521,video networks,
i275470878,c24498361,0743-4545 0743-4545 1,PB1012592,film and video makers travel sheet,
i275422537,c14643856,0015-1327 0160-7316,PB1012821,film library quarterly,
i275459871,c24373667,0048-4911 0048-4911 z,PB1010799,positif,
i275466565,c24497307,0158-4154 0158-4154,PB1012151,cantrill's filmnotes,
i275458106,c24373667,0048-4911 0048-4911 z,PB1010621,positif,
i275467211,c24497320,0006-8527 0006-8527 1,PB1012058,box office,
i275460241,c24373679,0045-1150,PB1010846,l'avant-scène cinéma,
i275485560,c24501955,1079-6851 1079-6851 1,PB1014406,scenario,"Scenario (New York, N.Y.)"
i275442081,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009103,the journal of popular film and television,
i275460538,c24373679,0045-1150,PB1010875,l'avant-scène cinéma,
i275470787,c24498361,0743-4545 0743-4545 1,PB1012583,film and video makers travel sheet,
i275456468,c24364617,0008-011X 0757-8075,PB1010460,cahiers du cinéma,
i275439811,c21349447,0731-5198,PB1013589,the independent,"Independent (New York, N.Y. : 1978)"
i275441684,c17414477,1077-9361 0742-533 0742-5333 1,PB1008966,international documentary,
i27546796x,c2449737x,0826-9866,PB1012213,cineaction!,
i275456729,c24364617,0008-011X 0757-8075,PB1010543,cahiers du cinéma,
i275475165,c24500380,0015-1025 0015-1025 z,PB1013100,film,"Film (London, England : 1954)"
i275467247,c24497320,0006-8527 0006-8527 1,PB1012061,box office,
i275458945,c24373667,0048-4911 0048-4911 z,PB1010706,positif,
i275423104,c22834175,0738-7563,PB1014510,video networks,
i275468744,c24497447,1027-5991 1027-5991,PB1012099,blimp,"Blimp (Graz, Austria)"
i275455282,c24358563,0037-4830,PB1011309,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275456092,c24364617,0008-011X 0757-8075,PB1010519,cahiers du cinéma,
i275440795,c17414477,1077-9361 0742-533 0742-5333 1,PB1008092,international documentary,
i275471081,c24498361,0743-4545 0743-4545 1,PB1012613,film and video makers travel sheet,
i275426828,c21926451,0300-7472,PB1009215,afterimage,
i275469165,c24497460,0009-7071 0009-7071 4,PB1012302,cinema canada,
i275478075,c2450144x,0015-1610 0015-1610 1,PB1013285,filmmakers newsletter,
i275461373,c24373679,0045-1150,PB1011702,l'avant-scène cinéma,
i275432907,c1740910x,0199-7300 1,PB1008471,the film journal,
i275459160,c24373667,0048-4911 0048-4911 z,PB1010728,positif,
i275439100,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008935,the independent film & video monthly,
i275474562,c24500380,0015-1025 0015-1025 z,PB1013040,film,"Film (London, England : 1954)"
i275440242,c21349447,0731-5198,PB1013633,the independent,"Independent (New York, N.Y. : 1978)"
i27548144x,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013962,main,"MAIN (Oakland, Calif.)"
i275457412,c24364617,0008-011X 0757-8075,PB1010557,cahiers du cinéma,
i275478610,c24501499,0194-4339 0194-4339 1,PB1013163,filmmakers,
i275459706,c24373667,0048-4911 0048-4911 z,PB1010782,positif,
i275440308,c21349447,0731-5198,PB1013639,the independent,"Independent (New York, N.Y. : 1978)"
i275438053,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012011,the independent film & video monthly,
i275450570,c24357571,0019-3712 0019-3712 1,PB1014063,the independent film journal,
i27545115x,c24357571,0019-3712 0019-3712 1,PB1014121,the independent film journal,
i275487076,c24502571,0306-0691,PB1014472,screen education,Screen education (1974)
i275473235,c24500331,0311-3639 0311-3639,PB1012767,cinema papers,
i275466644,c24497307,0158-4154 0158-4154,PB1012159,cantrill's filmnotes,
i27545082x,c24357571,0019-3712 0019-3712 1,PB1014088,the independent film journal,
i275423396,c22834175,0738-7563,PB1014539,video networks,
i275470027,c24498294,1049-0434 1049-0434 1,PB1012445,entertainment weekly,
i275482133,c24501785,0025-6897 0025-6897 1,PB1013956,media and methods,
i275483514,c24501839,0164-9655 0164-9655 1,PB1014018,millimeter,
i275462298,c24373679,0045-1150,PB1010976,l'avant-scène cinéma,
i275441301,c17414477,1077-9361 0742-533 0742-5333 1,PB1008144,international documentary,
i275426877,c21926451,0300-7472,PB1009220,afterimage,
i275431939,c1740910x,0199-7300 1,PB1008373,the film journal,
i275440874,c17414477,1077-9361 0742-533 0742-5333 1,PB1008100,international documentary,
i275480896,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013800,main,"MAIN (Oakland, Calif.)"
i275433286,c1740910x,0199-7300 1,PB1008509,the film journal,
i275473648,c24500331,0311-3639 0311-3639,PB1012959,cinema papers,
i275462122,c24373679,0045-1150,PB1010959,l'avant-scène cinéma,
i275466978,c24497307,0158-4154 0158-4154,PB1012192,cantrill's filmnotes,
i276094232,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015840,the journal of popular film and television,
i275467867,c2449737x,0826-9866,PB1012203,cineaction!,
i275423542,c22834175,0738-7563,PB1014554,video networks,
i275442652,c17212534,0277-9897,PB1009168,post script,"Post script (Jacksonville, Fla.)"
i275483770,c24501840,0885-5021 0885-5021 1,PB1014225,movietone news,
i275432488,c1740910x,0199-7300 1,PB1008429,the film journal,
i275484208,c24501840,0885-5021 0885-5021 1,PB1014268,movietone news,
i27546345x,c24373643,0894-9263 0894-9263 1,PB1010999,premiere,"Premiere (New York, N.Y. : 1987)"
i275480276,c24501670,0751-7033,PB1013738,iris,Collection  Iris  (Plon (Firm))
i275439483,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009798,the independent film & video monthly,
i275466607,c24497307,0158-4154 0158-4154,PB1012155,cantrill's filmnotes,
i275463230,c24373643,0894-9263 0894-9263 1,PB1010977,premiere,"Premiere (New York, N.Y. : 1987)"
i27547186x,c24499390,0360-3695 0885-1107,PB1012532,film & history,
i27546751x,c24497320,0006-8527 0006-8527 1,PB1012088,box office,
i275432154,c1740910x,0199-7300 1,PB1008395,the film journal,
i275459950,c24373679,0045-1150,PB1010818,l'avant-scène cinéma,
i275439665,c21349447,0731-5198,PB1013575,the independent,"Independent (New York, N.Y. : 1978)"
i275440497,c21349447,0731-5198,PB1013658,the independent,"Independent (New York, N.Y. : 1978)"
i275460186,c24373679,0045-1150,PB1010841,l'avant-scène cinéma,
i27547785x,c2450144x,0015-1610 0015-1610 1,PB1013263,filmmakers newsletter,
i27545762x,c24366675,0198-1056 1,PB1010603,cinefex,
i275460769,c24373679,0045-1150,PB1011655,l'avant-scène cinéma,
i275485006,c2450192x,1050-9208 0146-0013 z,PB1014613,quarterly review of film and video,
i275469803,c24498282,0145-6032 1,PB1012415,cinefantastique,
i275469372,c24497460,0009-7071 0009-7071 4,PB1012388,cinema canada,
i275447054,c16330274,0036-9543 0036-9546 z,PB1013221,screen,"Screen (London, England)"
i27548693x,c24502571,0306-0691,PB1014458,screen education,Screen education (1974)
i275473004,c24500331,0311-3639 0311-3639,PB1012744,cinema papers,
i275465809,c24495724,1041-617X 1,PB1011913,animation magazine,
i275477939,c2450144x,0015-1610 0015-1610 1,PB1013271,filmmakers newsletter,
i275425411,c17398411,0261-4472,PB1011332,afterimage,"Afterimage (London, England)"
i275478440,c24501499,0194-4339 0194-4339 1,PB1013147,filmmakers,
i275451707,c24357571,0019-3712 0019-3712 1,PB1014176,the independent film journal,
i27547169x,c24499390,0360-3695 0885-1107,PB1012515,film & history,
i275438855,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012047,the independent film & video monthly,
i275459573,c24373667,0048-4911 0048-4911 z,PB1010769,positif,
i275458623,c24373667,0048-4911 0048-4911 z,PB1010673,positif,
i275458155,c24373667,0048-4911 0048-4911 z,PB1010626,positif,
i275456286,c24364617,0008-011X 0757-8075,PB1010442,cahiers du cinéma,
i27548080x,c24501736,0191-541X,PB1013791,lighting dimensions,
i275423062,c22834175,0738-7563,PB1011090,video networks,
i275424091,c22834175,0738-7563,PB1014609,video networks,
i275472358,c24499419,0163-5069 0163-5069 1,PB1012503,film criticism,
i275476510,c24501360,0015-5128,PB1013384,focus on film,
i275432713,c1740910x,0199-7300 1,PB1008452,the film journal,
i275459391,c24373667,0048-4911 0048-4911 z,PB1010751,positif,
i275438429,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012040,the independent film & video monthly,
i275471524,c24498361,0743-4545 0743-4545 1,PB1012658,film and video makers travel sheet,
i275477204,c2450144x,0015-1610 0015-1610 1,PB1013306,filmmakers newsletter,
i275426257,c21926451,0300-7472,PB1011440,afterimage,
i275452943,c24357613,0027-0407,PB1010224,monthly film bulletin,
i275483186,c24501839,0164-9655 0164-9655 1,PB1013985,millimeter,
i275450612,c24357571,0019-3712 0019-3712 1,PB1014067,the independent film journal,
i275457394,c24364617,0008-011X 0757-8075,PB1010555,cahiers du cinéma,
i275432361,c1740910x,0199-7300 1,PB1008417,the film journal,
i275483988,c24501840,0885-5021 0885-5021 1,PB1014246,movietone news,
i275460976,c24373679,0045-1150,PB1011678,l'avant-scène cinéma,
i275470854,c24498361,0743-4545 0743-4545 1,PB1012590,film and video makers travel sheet,
i275422550,c14643856,0015-1327 0160-7316,PB1012823,film library quarterly,
i275473582,c24500331,0311-3639 0311-3639,PB1012953,cinema papers,
i275427079,c21926451,0300-7472,PB1009240,afterimage,
i275423979,c22834175,0738-7563,PB1014597,video networks,
i275471986,c24499390,0360-3695 0885-1107,PB1012544,film & history,
i275433146,c1740910x,0199-7300 1,PB1008495,the film journal,
i275441519,c17414477,1077-9361 0742-533 0742-5333 1,PB1008950,international documentary,
i275470581,c24498361,0743-4545 0743-4545 1,PB1012562,film and video makers travel sheet,
i275425782,c21926451,0300-7472,PB1011394,afterimage,
i275456912,c24364617,0008-011X 0757-8075,PB1010476,cahiers du cinéma,
i275456444,c24364617,0008-011X 0757-8075,PB1010458,cahiers du cinéma,
i275439872,c21349447,0731-5198,PB1013596,the independent,"Independent (New York, N.Y. : 1978)"
i27547298x,c24500331,0311-3639 0311-3639,PB1012742,cinema papers,
i275455932,c24364617,0008-011X 0757-8075,PB1010503,cahiers du cinéma,
i275456705,c24364617,0008-011X 0757-8075,PB1010541,cahiers du cinéma,
i275471329,c24498361,0743-4545 0743-4545 1,PB1012637,film and video makers travel sheet,
i275423207,c22834175,0738-7563,PB1014520,video networks,
i275468768,c24497447,1027-5991 1027-5991,PB1012101,blimp,"Blimp (Graz, Austria)"
i275467235,c24497320,0006-8527 0006-8527 1,PB1012060,box office,
i275460514,c24373679,0045-1150,PB1010873,l'avant-scène cinéma,
i275461178,c24373679,0045-1150,PB1010880,l'avant-scène cinéma,
i275471068,c24498361,0743-4545 0743-4545 1,PB1012611,film and video makers travel sheet,
i275426804,c21926451,0300-7472,PB1009213,afterimage,
i275481931,c24501785,0025-6897 0025-6897 1,PB1013936,media and methods,
i275461397,c24373679,0045-1150,PB1011704,l'avant-scène cinéma,
i275459494,c24373667,0048-4911 0048-4911 z,PB1010761,positif,
i275459147,c24373667,0048-4911 0048-4911 z,PB1010726,positif,
i275439124,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012045,the independent film & video monthly,
i275440266,c21349447,0731-5198,PB1013635,the independent,"Independent (New York, N.Y. : 1978)"
i275426014,c21926451,0300-7472,PB1011417,afterimage,
i275452116,c24357571,0019-3712 0019-3712 1,PB1014217,the independent film journal,
i275457473,c2436535x,0361-4751,PB1010164,american film,
i275451136,c24357571,0019-3712 0019-3712 1,PB1014119,the independent film journal,
i27548709x,c24502571,0306-0691,PB1014474,screen education,Screen education (1974)
